"Timestamp","What colour are the particles?

(Please choose a different colour for all 8 particles) [Red]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Green]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Blue]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Yellow]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Orange]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Purple]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Pink]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Brown]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Black]","What colour are the particles?

(Please choose a different colour for all 8 particles) [White]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Grey]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Gold]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Silver]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Cyan]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Magenta]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Beige]","What colour are the particles?

(Please choose a different colour for all 8 particles) [Colourless]","(Optional) What colour are the quarks? [Red]","(Optional) What colour are the quarks? [Green]","(Optional) What colour are the quarks? [Blue]","(Optional) What colour are the quarks? [Yellow]","(Optional) What colour are the quarks? [Orange]","(Optional) What colour are the quarks? [Purple]","(Optional) What colour are the quarks? [Pink]","(Optional) What colour are the quarks? [Brown]","(Optional) What colour are the quarks? [Black]","(Optional) What colour are the quarks? [White]","(Optional) What colour are the quarks? [Grey]","(Optional) What colour are the quarks? [Gold]","(Optional) What colour are the quarks? [Silver]","(Optional) What colour are the quarks? [Cyan]","(Optional) What colour are the quarks? [Magenta]","(Optional) What colour are the quarks? [Beige]","(Optional) What colour are the quarks? [Colourless]","(Optional) Are you a particle physicist?"
"2022/12/03 12:48:06 pm GMT","Muon","Electron","Proton","","Z boson","Higgs boson","","Tau lepton","","W boson(s)","Neutron","","","","","","","Top quark","","Bottom quark","Strange quark","","","","Charm quark","","","","","","Down quark","Up quark","","","Yes"
"2022/12/03 1:17:19 pm GMT","Proton","","Electron","Tau lepton","Higgs boson","Muon","","","","Neutron","","W boson(s)","Z boson","","","","","","","Down quark","Up quark","","","Charm quark","","Strange quark","","","","","Top quark","Bottom quark","","","No"
"2022/12/07 3:00:53 pm GMT","Proton","Tau lepton","Electron","","","Z boson","","","","Neutron","","","","Muon","W boson(s)","","Higgs boson","Up quark","Bottom quark","Down quark","Top quark","Charm quark","","","","","","","","","Strange quark","","","","No"
"2022/12/07 3:56:17 pm GMT","Proton","Tau lepton","Electron","","","W boson(s)","","Z boson","Neutron","","","","","","","Higgs boson","","Up quark","","Down quark","","","Strange quark","Charm quark","Bottom quark","","Top quark","","","","","","","","No"
"2022/12/07 4:00:49 pm GMT","Electron","Muon","Higgs boson","Proton","Z boson","","Tau lepton","","","W boson(s)","Neutron","","","","","","","","","","","","","","","","","","","","","","","","No"
"2022/12/07 5:56:53 pm GMT","Proton","","Neutron","Muon","","","","","Electron","Tau lepton","Z boson","","Higgs boson","","","","W boson(s)","Up quark","Down quark","","","","Charm quark","Top quark","","Bottom quark","Strange quark","","","","","","","","No"
"2022/12/07 5:57:26 pm GMT","Proton","Higgs boson","Electron","Muon","Tau lepton","","W boson(s)","","","Neutron","","","","Z boson","","","","","Up quark","","","","Strange quark","Charm quark","","Down quark","Top quark","","","","","","","","No"
"2022/12/07 6:27:44 pm GMT","","Neutron","Proton","Electron","","Muon","Tau lepton","","Higgs boson","","W boson(s)","","","Z boson","","","","Top quark","","Charm quark","","Strange quark","","Bottom quark","","Down quark","Up quark","","","","","","","","No"
"2022/12/07 7:37:13 pm GMT","Tau lepton","Proton","Electron","","","","","","Z boson","Muon","Neutron","","Higgs boson","","","","W boson(s)","","","","","","","","","","","","","","","","","","No"
"2022/12/07 8:47:40 pm GMT","Proton","Electron","","Muon","","","","","Higgs boson","","Neutron","","","","Tau lepton","Z boson","W boson(s)","","","Up quark","Down quark","Bottom quark","Top quark","","","","","","Strange quark","Charm quark","","","","","No"
"2022/12/07 10:57:34 pm GMT","Proton","Muon","","Electron","","Tau lepton","","","Higgs boson","","Neutron","","","Z boson","W boson(s)","","","Down quark","","Bottom quark","","","Strange quark","Charm quark","","","","","Top quark","","","","","","No"
"2022/12/07 11:47:22 pm GMT","Proton","","Neutron","Electron","","Tau lepton","","Higgs boson","Z boson","W boson(s)","","","","","","","","","","","","","","","","","","","","","","","","","No"
"2022/12/07 11:50:01 pm GMT","Proton","","Electron","W boson(s)","","Z boson","","","","","Neutron","","","Tau lepton","Muon","","Higgs boson","Up quark","","Down quark","","","","","","Bottom quark","Top quark","","Strange quark","Charm quark","","","","","No"
"2022/12/08 12:02:32 am GMT","Proton","Neutron","Electron","Muon","Tau lepton","Z boson","W boson(s)","Higgs boson","","","","","","","","","","Up quark","Down quark","Charm quark","Strange quark","Bottom quark","Top quark","","","","","","","","","","","","No"
"2022/12/08 1:20:22 am GMT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/12/08 1:37:05 am GMT","Proton","","Neutron","Electron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"2022/12/08 3:51:19 am GMT","Electron","Tau lepton","Proton","","","","","","","Neutron","Muon","Higgs boson","","W boson(s)","Z boson","","","Bottom quark","Top quark","","","Strange quark","Charm quark","","","Down quark","Up quark","","","","","","","","No"
"2022/12/08 4:47:14 am GMT","Proton","","","Electron","","Muon","","","","","Neutron","","","","","","","Up quark","Strange quark","Down quark","","","","Charm quark","","","","","","","","Top quark","","","No"
"2022/12/08 2:24:25 pm GMT","Proton","","Electron","","","","","","Neutron","","","","","","","","","Down quark","Up quark","","Top quark","Charm quark","Strange quark","","Bottom quark","","","","","","","","","","No"
"2022/12/08 2:26:52 pm GMT","Muon","W boson(s)","","Electron","Tau lepton","Z boson","","","Neutron","","","","Higgs boson","","","","","Top quark","Strange quark","Up quark","","","","Bottom quark","","Down quark","","","Charm quark","","","","","","No"
"2022/12/08 2:37:58 pm GMT","Proton","Neutron","Electron","W boson(s)","Tau lepton","Higgs boson","","","","","Z boson","","","","","","Muon","Up quark","","Down quark","","","","","","Bottom quark","Top quark","","","Charm quark","","","","Strange quark","No"
"2022/12/08 5:06:06 pm GMT","Proton","","Electron","Z boson","W boson(s)","Muon","","","","Neutron","","","","Tau lepton","","","Higgs boson","","","","","","","","","","","","","","","","","","No"
"2022/12/08 10:10:50 pm GMT","Proton","","","","","","","","W boson(s)","Z boson","Neutron","","Electron","","","Tau lepton","Muon","","","Strange quark","Bottom quark","Up quark","Down quark","Charm quark","","","","","","","","","Top quark","","No"
"2022/12/09 5:20:06 am GMT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/12/09 4:24:21 pm GMT","Proton","","","Electron","Z boson","","","Muon","","","Neutron","","W boson(s)","","Higgs boson","Tau lepton","","Up quark","Down quark","Charm quark","Strange quark","","","","","Top quark","Bottom quark","","","","","","","","Yes"
"2022/12/09 4:34:16 pm GMT","Muon","Electron","Proton","Higgs boson","W boson(s)","","","","Z boson","","Neutron","","","Tau lepton","","","","","","","","","","","","","","","","","","","","","Yes"
"2022/12/09 4:37:10 pm GMT","Proton","","Neutron","Higgs boson","","W boson(s)","","","Electron","Muon","","","","Tau lepton","Z boson","","","","","","","","","","","","","","","","","","","",""
"2022/12/09 4:38:14 pm GMT","Proton","","","Electron","Muon","","","","Neutron","","Higgs boson","Tau lepton","Z boson","","","","W boson(s)","Up quark","Down quark","Charm quark","Strange quark","Top quark","Bottom quark","","","","","","","","","","","","Yes"
"2022/12/09 4:38:15 pm GMT","","Neutron","Proton","Electron","Z boson","","","Muon","W boson(s)","Tau lepton","","","Higgs boson","","","","","Up quark","Charm quark","Down quark","","","","Strange quark","Bottom quark","","","","","Top quark","","","","","Yes"
"2022/12/09 4:40:37 pm GMT","Proton","Tau lepton","","","Electron","Muon","Higgs boson","W boson(s)","","Z boson","","","","","","","Neutron","Up quark","","Top quark","Charm quark","Strange quark","Bottom quark","","","Down quark","","","","","","","","","Yes"
"2022/12/09 5:19:28 pm GMT","Proton","","Tau lepton","Electron","Muon","Z boson","W boson(s)","","","Higgs boson","Neutron","","","","","","","Strange quark","Down quark","Top quark","Charm quark","","Up quark","","","","","","","","Bottom quark","","","","Yes"
"2022/12/09 6:01:21 pm GMT","Proton","Electron","W boson(s)","Neutron","Muon","","","Tau lepton","","Z boson","","","","","Higgs boson","","","","","","","","","","","","Down quark","Up quark","Charm quark","Bottom quark","","","Strange quark","Top quark","Yes"
"2022/12/09 6:04:16 pm GMT","Electron","Tau lepton","Muon","","Neutron","Proton","","","","","","Z boson","W boson(s)","","","Higgs boson","","Up quark","","Down quark","","Bottom quark","","","","Top quark","","","","","Strange quark","Charm quark","","","Yes"
"2022/12/09 6:24:10 pm GMT","Neutron","W boson(s)","Electron","","","Muon","Tau lepton","","Higgs boson","Z boson","","Proton","","","","","","","","","","","","","","","","","","","","","","","Yes"
"2022/12/10 2:05:03 am GMT","Proton","Tau lepton","Muon","Electron","Higgs boson","Z boson","","","Neutron","","W boson(s)","","","","","","","","Charm quark","Down quark","Strange quark","","","Up quark","","Bottom quark","","","","","","Top quark","","","No"
"2022/12/10 5:17:10 am GMT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022/12/10 11:55:54 am GMT","Electron","","Proton","","Muon","Z boson","Tau lepton","","","","Neutron","Higgs boson","","W boson(s)","","","","Down quark","","Up quark","","Strange quark","Charm quark","","Bottom quark","","","","","Top quark","","","","","Yes"
"2022/12/10 2:09:15 pm GMT","Proton","","Neutron","Electron","","Muon","","","","","","","","","","","","Up quark","Charm quark","Down quark","Strange quark","","","","","Bottom quark","Top quark","","","","","","","","Yes"